latitude,longitude,brightness,confidence,frp,daynight,acq_date
-30.0715,152.2778,318.4,65,19.4,N,2019-09-07
-29.7294,152.5407,301.7,49,5.2,D,2019-08-10
-33.7251,121.4929,382.5,100,162.8,D,2019-09-12
-27.3428,148.3903,349.6,95,248.4,D,2019-09-11
-29.0417,152.3102,331.9,100,33.4,N,2019-09-06
-16.4327,123.9919,342.9,89,32.4,D,2019-09-24
-29.2952,149.4606,324.4,77,15.0,D,2019-08-16
-34.0771,146.838,303.9,58,3.2,D,2019-08-23
-20.7388,139.4767,325.4,57,8.3,D,2019-09-18
-29.1749,148.7043,324.4,100,59.3,N,2019-08-23
-15.0382,129.8847,320.8,48,20.5,D,2019-08-13
-29.7329,152.4256,345.3,94,47.2,D,2019-09-09
-31.309,152.6166,314.9,75,16.4,D,2019-08-12
-29.8024,152.5264,311.3,57,6.5,D,2019-08-17
-30.2962,115.1163,333.1,83,69.1,D,2019-09-13
-29.3062,153.0576,325.9,34,21.0,D,2019-08-11
-26.9713,153.1414,302.3,48,6.5,N,2019-08-22
-33.9387,116.1557,307.0,62,8.9,D,2019-09-24
-16.3866,124.1288,331.3,66,57.3,D,2019-09-27
-28.664,152.5362,312.6,58,25.3,D,2019-08-05
-30.8744,152.1325,339.1,89,116.0,D,2019-09-28
-14.5478,126.7007,328.8,53,14.9,D,2019-09-04
-29.9227,152.1892,365.2,100,135.4,D,2019-09-23
-27.6201,148.9803,315.0,90,20.4,N,2019-09-11
-28.9882,152.4449,354.8,100,661.1,N,2019-09-06
-16.5679,124.1935,324.1,72,39.8,D,2019-08-26
-28.9992,152.2765,340.0,80,79.9,D,2019-09-06
-30.2964,152.2666,329.9,85,41.3,D,2019-09-06
-31.3076,152.6083,314.9,75,22.6,D,2019-08-13
-29.7714,152.5504,309.5,55,6.6,D,2019-08-24
-29.5756,153.2245,330.6,86,28.6,D,2019-09-09
-21.7063,119.0642,380.9,100,148.3,D,2019-08-29
-22.4525,150.3059,315.8,35,7.9,D,2019-09-15
-29.7595,152.411,310.1,10,24.2,D,2019-09-12
-36.1673,143.6174,323.7,82,28.2,D,2019-09-26
-16.4573,124.1222,342.5,86,26.5,D,2019-09-25
-30.0698,152.4039,326.7,80,92.3,D,2019-09-12
-30.2128,152.4857,353.4,100,647.1,N,2019-09-06
-29.7284,152.1265,320.9,61,16.9,D,2019-09-23
-13.8928,129.8381,393.2,100,244.9,D,2019-08-30
-36.4055,149.8759,371.4,100,119.2,D,2019-09-07
-29.8107,152.1337,339.0,36,55.3,D,2019-09-14
-16.5069,122.9115,337.2,83,28.1,D,2019-08-22
-29.0645,152.4697,329.6,78,24.2,D,2019-09-09
-15.4519,126.8406,327.9,28,14.0,D,2019-09-28
-22.4556,150.7121,311.5,83,12.9,N,2019-09-29
-17.9227,122.2313,357.1,0,150.0,D,2019-09-26
-34.8388,147.9592,326.8,85,26.6,D,2019-09-10
-22.5543,150.2536,321.6,45,13.8,D,2019-09-10
-42.3078,147.1725,304.8,60,15.6,D,2019-08-15
-29.0058,152.308,341.0,76,44.0,N,2019-09-06
-15.1195,129.9018,306.9,70,9.2,N,2019-08-07
-14.2957,129.8868,337.8,84,29.0,D,2019-08-12
-16.3965,124.1378,312.1,76,8.7,N,2019-09-26
-33.1335,147.1505,324.2,74,11.1,D,2019-09-30
-32.4216,116.1478,303.9,47,10.3,D,2019-09-06
-26.348,150.7698,325.8,75,40.5,D,2019-09-06
